t,container,cpu_pct,mem_mb
1786695699.75,hello.11.wbpcped4o6gnn2ppql94dnfod,0.0,20.55078125
1786695699.75,hello.15.39s21r4a4ldhu5h47rxibhsn9,0.0,21.29296875
1786695699.75,hello.6.6becjyk55caev3v1qegkoisfz,0.0,20.92578125
1786695699.75,hello.7.gbwf35but7yv5hedjya3es0vy,0.0,20.65625
1786695699.75,hello.9.ji0flgjno5fcei3wvdaq8ostu,0.0,20.7109375
1786695699.75,hello.2.w97q3lmykm2r6zljqezjyb3kq,0.0,20.7890625
1786695699.75,hello.4.whb01ns0nuajgv5c5j4t0fwwm,0.0,20.5546875
1786695699.75,hello.13.xi4sspli4mgom5fc0eydmcnkp,0.0,20.72265625
1786695699.75,hello.10.w2qnaeeqwxdla966boy4o5mr4,0.0,20.546875
1786695699.75,hello.8.w455zodw9xudm4rb1k8z7dpo8,0.0,20.8671875
1786695699.75,hello.14.iqwfflsyry3854jxxuxnofmvg,0.0,20.81640625
1786695699.75,hello.16.o213wjb8d6bomf49bt162zm2k,0.0,20.58984375
1786695699.75,hello.12.o6mpiv9t818u0v6s1wuajf3tn,0.0,20.79296875
1786695699.75,hello.5.la95ui9wkv26jinqnex99nyhs,0.0,20.54296875
1786695699.75,hello.3.r1fv40t23wj30nmcscqmoi9s2,0.0,20.625
1786695699.75,hello.1.kgp3e0iad1vzbybvuwz71627y,0.0,20.74609375
1786695699.75,openfaas_gateway.1.1xdbasx2v3btlhnxrwf9wcw94,0.0,8.60546875
1786695699.75,openfaas_alertmanager.1.vqzxeaarqjv8u13nwtqsp7fec,0.0,9.73828125
1786695699.75,openfaas_prometheus.1.d3etxy8rma5lw5gplmfjo1gvs,0.0,24.09375
1786695699.75,openfaas_queue-worker.1.ltsvh7d9560i4lmml5o0ftg5e,0.0,1.7734375
1786695699.75,openfaas_nats.1.j1gp46wc8ed1y44rmyps4rx6c,0.0,6.25
1786695699.75,openfaas_faas-swarm.1.aiae0ldb6b8m50del9frfrtap,0.0,5.3046875
1786695699.75,k8s_local-path-provisioner_local-path-provisioner-58d557dc48-p9j96_kube-system_7fd6cb3b-fa1b-4cf6-91b8-2dc48f5ebd0f_5,0.0,11.953125
1786695699.75,k8s_controller_controller-c9767f9c-h8zvb_knative-serving_9a5a04d4-1393-48b2-b655-088fcff5b337_8,0.0,25.25390625
1786695699.75,k8s_metrics-server_metrics-server-6dc596dfb8-46tvx_kube-system_b8abf359-78cf-46b7-afb3-a3cf654e93c0_5,0.0,28.29296875
1786695699.75,k8s_controller_net-kourier-controller-769cd4d84c-mpvj4_knative-serving_a859182b-3989-44e1-8ad7-068a1efe2192_8,0.0,19.8359375
1786695699.75,k8s_POD_local-path-provisioner-58d557dc48-p9j96_kube-system_7fd6cb3b-fa1b-4cf6-91b8-2dc48f5ebd0f_6,0.0,0.33984375
1786695699.75,k8s_webhook_webhook-7d56465b69-khwt8_knative-serving_a7b84bd9-4373-4bbe-843a-0e2fb9c788d8_5,0.0,20.96484375
1786695699.75,k8s_autoscaler_autoscaler-847d45f498-rkvpp_knative-serving_ec82673b-6dc8-472a-9e8a-04e02f65f117_4,0.0,56.80078125
1786695699.75,k8s_POD_net-kourier-controller-769cd4d84c-mpvj4_knative-serving_a859182b-3989-44e1-8ad7-068a1efe2192_4,0.0,0.34375
1786695699.75,k8s_POD_autoscaler-847d45f498-rkvpp_knative-serving_ec82673b-6dc8-472a-9e8a-04e02f65f117_4,0.0,0.34375
1786695699.75,k8s_POD_metrics-server-6dc596dfb8-46tvx_kube-system_b8abf359-78cf-46b7-afb3-a3cf654e93c0_8,0.0,0.34375
1786695699.75,k8s_lb-tcp-443_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_4,0.0,0.3203125
1786695699.75,k8s_lb-tcp-80_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_4,0.0,2.44140625
1786695699.75,k8s_coredns_coredns-54996dc9b4-94zpj_kube-system_86f4a07b-00d4-46a7-a1a6-6f878fb26856_4,0.0,68.70703125
1786695699.75,k8s_kourier-gateway_3scale-kourier-gateway-d95dfffb6-z2zzz_kourier-system_69daf3cc-53df-449a-ba4e-12ca3f124bf1_4,0.0,71.0859375
1786695699.75,k8s_activator_activator-67cbcccdfb-t6cg7_knative-serving_af70f812-f578-45d9-aafe-c711ea35ebd4_4,0.0,59.40234375
1786695699.75,k8s_POD_webhook-7d56465b69-khwt8_knative-serving_a7b84bd9-4373-4bbe-843a-0e2fb9c788d8_5,0.0,0.33984375
1786695699.75,k8s_POD_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_4,0.0,0.34375
