t,container,cpu_pct,mem_mb
1786218212.27,hello.7.fnmcbgyrsf6p4wx6cdf68e4r8,0.0,20.98828125
1786218212.27,hello.13.q0wxf1mfqekw782qlzjutmpku,0.0,20.5546875
1786218212.27,hello.9.censeoz537epcyncnhcdsn99l,0.0,20.51171875
1786218212.27,hello.3.78yxbapws3sc9jp90zkoqu5vy,0.0,20.65625
1786218212.27,hello.1.oinw5z2m6ve6pndqan368ydz8,0.0,20.56640625
1786218212.27,openfaas_alertmanager.1.q3o9cku4m4wvqa7u4fwd3t8f1,0.0,9.90625
1786218212.27,openfaas_prometheus.1.9jezhptj4x4b8dgixy3yrhvi3,0.0,24.76171875
1786218212.27,openfaas_queue-worker.1.phqrnvyqmcv7h77tusd9my5wr,0.0,1.73046875
1786218212.27,openfaas_nats.1.zfis1ucobv2079jsl76dv69bv,0.0,7.22265625
1786218212.27,openfaas_gateway.1.rk6d8scvd7fcud2373uf2x47m,0.0,8.98046875
1786218212.27,openfaas_faas-swarm.1.ecjja6n0tb1qb3ox8tgvdosxd,0.0,6.72265625
1786218212.27,k8s_coredns_coredns-54996dc9b4-94zpj_kube-system_86f4a07b-00d4-46a7-a1a6-6f878fb26856_1,0.0,69.0859375
1786218212.27,k8s_autoscaler_autoscaler-847d45f498-rkvpp_knative-serving_ec82673b-6dc8-472a-9e8a-04e02f65f117_1,0.0,58.24609375
1786218212.27,k8s_controller_net-kourier-controller-769cd4d84c-mpvj4_knative-serving_a859182b-3989-44e1-8ad7-068a1efe2192_1,0.0,64.92578125
1786218212.27,k8s_POD_coredns-54996dc9b4-94zpj_kube-system_86f4a07b-00d4-46a7-a1a6-6f878fb26856_4,0.0,0.34375
1786218212.27,k8s_POD_autoscaler-847d45f498-rkvpp_knative-serving_ec82673b-6dc8-472a-9e8a-04e02f65f117_1,0.0,0.34375
1786218212.27,k8s_POD_net-kourier-controller-769cd4d84c-mpvj4_knative-serving_a859182b-3989-44e1-8ad7-068a1efe2192_1,0.0,0.34375
1786218212.27,k8s_kourier-gateway_3scale-kourier-gateway-d95dfffb6-z2zzz_kourier-system_69daf3cc-53df-449a-ba4e-12ca3f124bf1_1,0.5359979553410376,71.5390625
1786218212.27,k8s_metrics-server_metrics-server-6dc596dfb8-46tvx_kube-system_b8abf359-78cf-46b7-afb3-a3cf654e93c0_1,0.0,77.36328125
1786218212.27,k8s_webhook_webhook-7d56465b69-khwt8_knative-serving_a7b84bd9-4373-4bbe-843a-0e2fb9c788d8_1,0.0,59.27734375
1786218212.27,k8s_local-path-provisioner_local-path-provisioner-58d557dc48-p9j96_kube-system_7fd6cb3b-fa1b-4cf6-91b8-2dc48f5ebd0f_1,0.0,44.9765625
1786218212.27,k8s_activator_activator-67cbcccdfb-t6cg7_knative-serving_af70f812-f578-45d9-aafe-c711ea35ebd4_1,0.0,55.62109375
1786218212.27,k8s_lb-tcp-443_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_1,0.0,0.33203125
1786218212.27,k8s_controller_controller-c9767f9c-h8zvb_knative-serving_9a5a04d4-1393-48b2-b655-088fcff5b337_1,0.0,70.7109375
1786218212.27,k8s_POD_3scale-kourier-gateway-d95dfffb6-z2zzz_kourier-system_69daf3cc-53df-449a-ba4e-12ca3f124bf1_1,0.0,0.34375
1786218212.27,k8s_lb-tcp-80_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_1,0.0,2.4453125
1786218212.27,k8s_POD_webhook-7d56465b69-khwt8_knative-serving_a7b84bd9-4373-4bbe-843a-0e2fb9c788d8_1,0.0,0.33984375
1786218212.27,k8s_POD_controller-c9767f9c-h8zvb_knative-serving_9a5a04d4-1393-48b2-b655-088fcff5b337_1,0.0,0.34375
1786218212.27,k8s_POD_activator-67cbcccdfb-t6cg7_knative-serving_af70f812-f578-45d9-aafe-c711ea35ebd4_1,0.0,0.34765625
1786218212.27,k8s_POD_metrics-server-6dc596dfb8-46tvx_kube-system_b8abf359-78cf-46b7-afb3-a3cf654e93c0_4,0.0,0.34375
1786218212.27,k8s_POD_local-path-provisioner-58d557dc48-p9j96_kube-system_7fd6cb3b-fa1b-4cf6-91b8-2dc48f5ebd0f_3,0.0,0.34375
1786218212.27,k8s_POD_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_1,0.0,1.046875
1786218212.28,hello.12.rucdhhd9svcwecbqpr183hfx5,0.0,20.59765625
1786218212.28,hello.2.503yfse5acjhr87jgvcr81lgw,0.0,20.87109375
1786218212.28,hello.4.aeis462exolvssvxg4sbphlid,0.0,20.4765625
1786218212.28,hello.16.z1vc0cy4u2de4y08ii0mvif0n,0.0,20.73828125
1786218212.28,hello.8.xg06l3h5noh4otn8bk57ykxi5,0.0,20.6171875
1786218212.28,hello.15.egf2dx1tpev28mquonp928cs5,0.0,20.9921875
1786218212.28,hello.14.otfwbmqh21p500xkc8wgnc4sb,0.0,21.078125
1786218212.28,hello.5.dhimgcc64u24my5yyvkm72kie,0.0,20.93359375
1786218212.28,hello.11.p93v9lh55r56iks74rb8qxs9t,0.0,20.59765625
1786218212.28,hello.6.hih0tht7z13m2f32hr2jbexdt,0.0,20.6171875
1786218212.28,hello.10.oe5pfgjozlik0hik9i8pfi6n2,0.0,20.7265625
1786218212.28,hello.7.fnmcbgyrsf6p4wx6cdf68e4r8,0.0,20.98828125
1786218212.28,hello.13.q0wxf1mfqekw782qlzjutmpku,0.0,20.5546875
1786218212.28,hello.9.censeoz537epcyncnhcdsn99l,0.0,20.51171875
1786218212.28,hello.3.78yxbapws3sc9jp90zkoqu5vy,0.0,20.65625
1786218212.28,hello.1.oinw5z2m6ve6pndqan368ydz8,0.0,20.56640625
1786218212.28,openfaas_alertmanager.1.q3o9cku4m4wvqa7u4fwd3t8f1,0.0,9.90625
1786218212.28,openfaas_prometheus.1.9jezhptj4x4b8dgixy3yrhvi3,0.0,24.76171875
1786218212.28,openfaas_queue-worker.1.phqrnvyqmcv7h77tusd9my5wr,0.0,1.73046875
1786218212.28,openfaas_nats.1.zfis1ucobv2079jsl76dv69bv,0.0,7.22265625
1786218212.28,openfaas_gateway.1.rk6d8scvd7fcud2373uf2x47m,0.0,8.98046875
1786218212.28,openfaas_faas-swarm.1.ecjja6n0tb1qb3ox8tgvdosxd,0.0,6.72265625
1786218212.28,k8s_coredns_coredns-54996dc9b4-94zpj_kube-system_86f4a07b-00d4-46a7-a1a6-6f878fb26856_1,0.0,69.0859375
1786218212.28,k8s_autoscaler_autoscaler-847d45f498-rkvpp_knative-serving_ec82673b-6dc8-472a-9e8a-04e02f65f117_1,0.0,58.24609375
1786218212.28,k8s_controller_net-kourier-controller-769cd4d84c-mpvj4_knative-serving_a859182b-3989-44e1-8ad7-068a1efe2192_1,0.0,64.92578125
1786218212.28,k8s_POD_coredns-54996dc9b4-94zpj_kube-system_86f4a07b-00d4-46a7-a1a6-6f878fb26856_4,0.0,0.34375
1786218212.28,k8s_POD_autoscaler-847d45f498-rkvpp_knative-serving_ec82673b-6dc8-472a-9e8a-04e02f65f117_1,0.0,0.34375
1786218212.28,k8s_POD_net-kourier-controller-769cd4d84c-mpvj4_knative-serving_a859182b-3989-44e1-8ad7-068a1efe2192_1,0.0,0.34375
1786218212.28,k8s_kourier-gateway_3scale-kourier-gateway-d95dfffb6-z2zzz_kourier-system_69daf3cc-53df-449a-ba4e-12ca3f124bf1_1,0.0,71.5390625
1786218212.28,k8s_metrics-server_metrics-server-6dc596dfb8-46tvx_kube-system_b8abf359-78cf-46b7-afb3-a3cf654e93c0_1,0.0,77.36328125
1786218212.28,k8s_webhook_webhook-7d56465b69-khwt8_knative-serving_a7b84bd9-4373-4bbe-843a-0e2fb9c788d8_1,0.0,59.27734375
1786218212.28,k8s_local-path-provisioner_local-path-provisioner-58d557dc48-p9j96_kube-system_7fd6cb3b-fa1b-4cf6-91b8-2dc48f5ebd0f_1,0.0,44.9765625
1786218212.28,k8s_activator_activator-67cbcccdfb-t6cg7_knative-serving_af70f812-f578-45d9-aafe-c711ea35ebd4_1,0.0,55.62109375
1786218212.28,k8s_lb-tcp-443_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_1,0.0,0.33203125
1786218212.28,k8s_controller_controller-c9767f9c-h8zvb_knative-serving_9a5a04d4-1393-48b2-b655-088fcff5b337_1,0.0,70.7109375
1786218212.28,k8s_POD_3scale-kourier-gateway-d95dfffb6-z2zzz_kourier-system_69daf3cc-53df-449a-ba4e-12ca3f124bf1_1,0.0,0.34375
1786218212.28,k8s_lb-tcp-80_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_1,0.0,2.4453125
1786218212.28,k8s_POD_webhook-7d56465b69-khwt8_knative-serving_a7b84bd9-4373-4bbe-843a-0e2fb9c788d8_1,0.0,0.33984375
1786218212.28,k8s_POD_controller-c9767f9c-h8zvb_knative-serving_9a5a04d4-1393-48b2-b655-088fcff5b337_1,0.0,0.34375
1786218212.28,k8s_POD_activator-67cbcccdfb-t6cg7_knative-serving_af70f812-f578-45d9-aafe-c711ea35ebd4_1,0.0,0.34765625
1786218212.28,k8s_POD_metrics-server-6dc596dfb8-46tvx_kube-system_b8abf359-78cf-46b7-afb3-a3cf654e93c0_4,0.0,0.34375
1786218212.28,k8s_POD_local-path-provisioner-58d557dc48-p9j96_kube-system_7fd6cb3b-fa1b-4cf6-91b8-2dc48f5ebd0f_3,0.0,0.34375
1786218212.28,k8s_POD_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_1,0.0,1.046875
1786218212.29,hello.12.rucdhhd9svcwecbqpr183hfx5,0.0,20.59765625
1786218212.29,hello.2.503yfse5acjhr87jgvcr81lgw,0.0,20.87109375
1786218212.29,hello.4.aeis462exolvssvxg4sbphlid,0.0,20.4765625
1786218212.29,hello.16.z1vc0cy4u2de4y08ii0mvif0n,0.0,20.73828125
1786218212.29,hello.8.xg06l3h5noh4otn8bk57ykxi5,0.0,20.6171875
1786218212.29,hello.15.egf2dx1tpev28mquonp928cs5,0.0,20.9921875
1786218212.29,hello.14.otfwbmqh21p500xkc8wgnc4sb,0.0,21.078125
1786218212.29,hello.5.dhimgcc64u24my5yyvkm72kie,0.0,20.93359375
1786218212.29,hello.11.p93v9lh55r56iks74rb8qxs9t,0.0,20.59765625
1786218212.29,hello.6.hih0tht7z13m2f32hr2jbexdt,0.0,20.6171875
1786218212.29,hello.10.oe5pfgjozlik0hik9i8pfi6n2,0.0,20.7265625
1786218212.29,hello.7.fnmcbgyrsf6p4wx6cdf68e4r8,0.0,20.98828125
1786218212.29,hello.13.q0wxf1mfqekw782qlzjutmpku,0.0,20.5546875
1786218212.29,hello.9.censeoz537epcyncnhcdsn99l,0.0,20.51171875
1786218212.29,hello.3.78yxbapws3sc9jp90zkoqu5vy,0.0,20.65625
1786218212.29,hello.1.oinw5z2m6ve6pndqan368ydz8,0.0,20.56640625
1786218212.29,openfaas_alertmanager.1.q3o9cku4m4wvqa7u4fwd3t8f1,0.0,9.90625
1786218212.29,openfaas_prometheus.1.9jezhptj4x4b8dgixy3yrhvi3,0.0,24.76171875
1786218212.29,openfaas_queue-worker.1.phqrnvyqmcv7h77tusd9my5wr,0.0,1.73046875
1786218212.29,openfaas_nats.1.zfis1ucobv2079jsl76dv69bv,0.0,7.22265625
1786218212.29,openfaas_gateway.1.rk6d8scvd7fcud2373uf2x47m,0.0,8.98046875
1786218212.29,openfaas_faas-swarm.1.ecjja6n0tb1qb3ox8tgvdosxd,0.0,6.72265625
1786218212.29,k8s_coredns_coredns-54996dc9b4-94zpj_kube-system_86f4a07b-00d4-46a7-a1a6-6f878fb26856_1,0.0,69.0859375
1786218212.29,k8s_autoscaler_autoscaler-847d45f498-rkvpp_knative-serving_ec82673b-6dc8-472a-9e8a-04e02f65f117_1,0.0,58.24609375
1786218212.29,k8s_controller_net-kourier-controller-769cd4d84c-mpvj4_knative-serving_a859182b-3989-44e1-8ad7-068a1efe2192_1,0.0,64.92578125
1786218212.29,k8s_POD_coredns-54996dc9b4-94zpj_kube-system_86f4a07b-00d4-46a7-a1a6-6f878fb26856_4,0.0,0.34375
1786218212.29,k8s_POD_autoscaler-847d45f498-rkvpp_knative-serving_ec82673b-6dc8-472a-9e8a-04e02f65f117_1,0.0,0.34375
1786218212.29,k8s_POD_net-kourier-controller-769cd4d84c-mpvj4_knative-serving_a859182b-3989-44e1-8ad7-068a1efe2192_1,0.0,0.34375
1786218212.29,k8s_kourier-gateway_3scale-kourier-gateway-d95dfffb6-z2zzz_kourier-system_69daf3cc-53df-449a-ba4e-12ca3f124bf1_1,0.0,71.5390625
1786218212.29,k8s_metrics-server_metrics-server-6dc596dfb8-46tvx_kube-system_b8abf359-78cf-46b7-afb3-a3cf654e93c0_1,0.0,77.36328125
1786218212.29,k8s_webhook_webhook-7d56465b69-khwt8_knative-serving_a7b84bd9-4373-4bbe-843a-0e2fb9c788d8_1,0.0,59.27734375
1786218212.29,k8s_local-path-provisioner_local-path-provisioner-58d557dc48-p9j96_kube-system_7fd6cb3b-fa1b-4cf6-91b8-2dc48f5ebd0f_1,0.0,44.9765625
1786218212.29,k8s_activator_activator-67cbcccdfb-t6cg7_knative-serving_af70f812-f578-45d9-aafe-c711ea35ebd4_1,0.0,55.62109375
1786218212.29,k8s_lb-tcp-443_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_1,0.0,0.33203125
1786218212.29,k8s_controller_controller-c9767f9c-h8zvb_knative-serving_9a5a04d4-1393-48b2-b655-088fcff5b337_1,0.0,70.7109375
1786218212.29,k8s_POD_3scale-kourier-gateway-d95dfffb6-z2zzz_kourier-system_69daf3cc-53df-449a-ba4e-12ca3f124bf1_1,0.0,0.34375
1786218212.29,k8s_lb-tcp-80_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_1,0.0,2.4453125
1786218212.29,k8s_POD_webhook-7d56465b69-khwt8_knative-serving_a7b84bd9-4373-4bbe-843a-0e2fb9c788d8_1,0.0,0.33984375
1786218212.29,k8s_POD_controller-c9767f9c-h8zvb_knative-serving_9a5a04d4-1393-48b2-b655-088fcff5b337_1,0.0,0.34375
1786218212.29,k8s_POD_activator-67cbcccdfb-t6cg7_knative-serving_af70f812-f578-45d9-aafe-c711ea35ebd4_1,0.0,0.34765625
1786218212.29,k8s_POD_metrics-server-6dc596dfb8-46tvx_kube-system_b8abf359-78cf-46b7-afb3-a3cf654e93c0_4,0.0,0.34375
1786218212.29,k8s_POD_local-path-provisioner-58d557dc48-p9j96_kube-system_7fd6cb3b-fa1b-4cf6-91b8-2dc48f5ebd0f_3,0.0,0.34375
1786218212.29,k8s_POD_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_1,0.0,1.046875
1786218212.3,hello.12.rucdhhd9svcwecbqpr183hfx5,0.0,20.59765625
1786218212.3,hello.2.503yfse5acjhr87jgvcr81lgw,0.0,20.87109375
1786218212.3,hello.4.aeis462exolvssvxg4sbphlid,0.3225369824202187,20.4765625
1786218212.3,hello.16.z1vc0cy4u2de4y08ii0mvif0n,0.3556176985549583,20.73828125
1786218212.3,hello.8.xg06l3h5noh4otn8bk57ykxi5,0.0,20.6171875
1786218212.3,hello.15.egf2dx1tpev28mquonp928cs5,0.0,20.9921875
1786218212.3,hello.14.otfwbmqh21p500xkc8wgnc4sb,0.40523877277910375,21.078125
1786218212.3,hello.5.dhimgcc64u24my5yyvkm72kie,0.0,20.93359375
1786218212.3,hello.11.p93v9lh55r56iks74rb8qxs9t,0.0,20.59765625
1786218212.3,hello.6.hih0tht7z13m2f32hr2jbexdt,0.37215805662967344,20.6171875
1786218212.3,hello.10.oe5pfgjozlik0hik9i8pfi6n2,0.0,20.7265625
1786218212.3,hello.7.fnmcbgyrsf6p4wx6cdf68e4r8,0.36388787759966124,20.98828125
1786218212.3,hello.13.q0wxf1mfqekw782qlzjutmpku,0.0,20.5546875
1786218212.3,hello.9.censeoz537epcyncnhcdsn99l,0.0,20.51171875
1786218212.3,hello.3.78yxbapws3sc9jp90zkoqu5vy,0.0,20.65625
1786218212.3,hello.1.oinw5z2m6ve6pndqan368ydz8,0.0,20.56640625
1786218212.3,openfaas_alertmanager.1.q3o9cku4m4wvqa7u4fwd3t8f1,0.0,9.90625
1786218212.3,openfaas_prometheus.1.9jezhptj4x4b8dgixy3yrhvi3,0.0,24.76171875
1786218212.3,openfaas_queue-worker.1.phqrnvyqmcv7h77tusd9my5wr,0.0,1.73046875
1786218212.3,openfaas_nats.1.zfis1ucobv2079jsl76dv69bv,0.0,7.22265625
1786218212.3,openfaas_gateway.1.rk6d8scvd7fcud2373uf2x47m,0.0,8.73828125
1786218212.3,openfaas_faas-swarm.1.ecjja6n0tb1qb3ox8tgvdosxd,0.0,6.72265625
1786218212.3,k8s_coredns_coredns-54996dc9b4-94zpj_kube-system_86f4a07b-00d4-46a7-a1a6-6f878fb26856_1,0.0,69.0859375
1786218212.3,k8s_autoscaler_autoscaler-847d45f498-rkvpp_knative-serving_ec82673b-6dc8-472a-9e8a-04e02f65f117_1,0.0,58.24609375
1786218212.3,k8s_controller_net-kourier-controller-769cd4d84c-mpvj4_knative-serving_a859182b-3989-44e1-8ad7-068a1efe2192_1,0.0,64.92578125
1786218212.3,k8s_POD_coredns-54996dc9b4-94zpj_kube-system_86f4a07b-00d4-46a7-a1a6-6f878fb26856_4,0.0,0.34375
1786218212.3,k8s_POD_autoscaler-847d45f498-rkvpp_knative-serving_ec82673b-6dc8-472a-9e8a-04e02f65f117_1,0.0,0.34375
1786218212.3,k8s_POD_net-kourier-controller-769cd4d84c-mpvj4_knative-serving_a859182b-3989-44e1-8ad7-068a1efe2192_1,0.0,0.34375
1786218212.3,k8s_kourier-gateway_3scale-kourier-gateway-d95dfffb6-z2zzz_kourier-system_69daf3cc-53df-449a-ba4e-12ca3f124bf1_1,0.6946950389323658,71.5390625
1786218212.3,k8s_metrics-server_metrics-server-6dc596dfb8-46tvx_kube-system_b8abf359-78cf-46b7-afb3-a3cf654e93c0_1,1.240526855353894,77.36328125
1786218212.3,k8s_webhook_webhook-7d56465b69-khwt8_knative-serving_a7b84bd9-4373-4bbe-843a-0e2fb9c788d8_1,0.0,59.27734375
1786218212.3,k8s_local-path-provisioner_local-path-provisioner-58d557dc48-p9j96_kube-system_7fd6cb3b-fa1b-4cf6-91b8-2dc48f5ebd0f_1,0.0,44.9765625
1786218212.3,k8s_activator_activator-67cbcccdfb-t6cg7_knative-serving_af70f812-f578-45d9-aafe-c711ea35ebd4_1,0.0,55.62109375
1786218212.3,k8s_lb-tcp-443_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_1,0.0,0.33203125
1786218212.3,k8s_controller_controller-c9767f9c-h8zvb_knative-serving_9a5a04d4-1393-48b2-b655-088fcff5b337_1,0.0,70.7109375
1786218212.3,k8s_POD_3scale-kourier-gateway-d95dfffb6-z2zzz_kourier-system_69daf3cc-53df-449a-ba4e-12ca3f124bf1_1,0.0,0.34375
1786218212.3,k8s_lb-tcp-80_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_1,0.0,2.4453125
