t,container,cpu_pct,mem_mb
1785951224.32,hello.2.ke6wzzzfh7896q7ih0h5w4eb9,0.0,15.80859375
1785951224.32,hello.4.waks1qjyzyilu8ueo0r8ym9lc,0.0,16.1484375
1785951224.32,hello.3.qf2a50navr5786u87rryyucxf,0.0,15.71484375
1785951224.32,hello.8.8l63ivv1upa3ibq1m7h11n7r0,0.0,15.71875
1785951224.32,hello.14.yb02i7sznk7gxg76w9wcx8wfm,0.0,15.69921875
1785951224.32,hello.5.ged68kppf99ilkm9lmvxi0qot,0.0,15.7578125
1785951224.32,hello.9.zft01an8i1gpr45rsyvrmzi8r,0.0,15.56640625
1785951224.32,hello.15.hx40qrrvkeekyp4bhe8jigqr8,0.0,15.7109375
1785951224.32,hello.7.shbsllir0y9m5c4ax42p6w7er,0.0,15.5234375
1785951224.32,hello.12.7pl9wm91wg3ow3ywx1iy1mh2u,0.0,15.48828125
1785951224.32,hello.10.yaxizgfevwx7zs1gueqpcz0b8,0.0,16.05078125
1785951224.32,hello.13.ynp004dd1s3zbila69jqhp1rs,0.0,15.57421875
1785951224.32,hello.16.cp4zpurx2frz3ywyzlai8ymrv,0.0,15.4140625
1785951224.32,hello.11.z5kn2xkavoujp8uqq0c50dqu9,0.0,15.47265625
1785951224.32,hello.6.ieanm1kl1x1ilnmpksfoo44bl,0.0,15.67578125
1785951224.32,hello.1.pw2fv7ovavd6zu25hobz28i8y,0.0,15.79296875
1785951224.32,openfaas_alertmanager.1.6406pqdeb7yhrh87zzi2q0obc,0.0,10.1953125
1785951224.32,openfaas_prometheus.1.v7zlor8241h47tu7h6mjcw5l3,0.0,22.7578125
1785951224.32,openfaas_queue-worker.1.265hmrzj1ublxh0q1tgq0iq75,0.0,1.76171875
1785951224.32,openfaas_nats.1.xtes3383l1jdt8ft7bo259xs1,0.0,6.16015625
1785951224.32,openfaas_gateway.1.hg68dk9pjodcoovusdu6z1fjh,0.0,6.12109375
1785951224.32,openfaas_faas-swarm.1.4qypcyy4fxhl3gpit33772myr,0.0,6.01953125
1785951224.32,fnserver,0.0,25.00390625
1785951224.33,hello.2.ke6wzzzfh7896q7ih0h5w4eb9,0.0,15.80859375
1785951224.33,hello.4.waks1qjyzyilu8ueo0r8ym9lc,0.0,16.1484375
1785951224.33,hello.3.qf2a50navr5786u87rryyucxf,0.0,15.71484375
1785951224.33,hello.8.8l63ivv1upa3ibq1m7h11n7r0,0.0,15.71875
1785951224.33,hello.14.yb02i7sznk7gxg76w9wcx8wfm,0.0,15.69921875
1785951224.33,hello.5.ged68kppf99ilkm9lmvxi0qot,0.0,15.7578125
1785951224.33,hello.9.zft01an8i1gpr45rsyvrmzi8r,0.0,15.56640625
1785951224.33,hello.15.hx40qrrvkeekyp4bhe8jigqr8,0.0,15.7109375
1785951224.33,hello.7.shbsllir0y9m5c4ax42p6w7er,0.0,15.5234375
1785951224.33,hello.12.7pl9wm91wg3ow3ywx1iy1mh2u,0.0,15.48828125
1785951224.33,hello.10.yaxizgfevwx7zs1gueqpcz0b8,0.0,16.05078125
1785951224.33,hello.13.ynp004dd1s3zbila69jqhp1rs,0.0,15.57421875
1785951224.33,hello.16.cp4zpurx2frz3ywyzlai8ymrv,0.0,15.4140625
1785951224.33,hello.11.z5kn2xkavoujp8uqq0c50dqu9,0.0,15.47265625
1785951224.33,hello.6.ieanm1kl1x1ilnmpksfoo44bl,0.0,15.67578125
1785951224.33,hello.1.pw2fv7ovavd6zu25hobz28i8y,0.0,15.79296875
1785951224.33,openfaas_alertmanager.1.6406pqdeb7yhrh87zzi2q0obc,0.0,10.1953125
1785951224.33,openfaas_prometheus.1.v7zlor8241h47tu7h6mjcw5l3,0.0,22.7578125
1785951224.33,openfaas_queue-worker.1.265hmrzj1ublxh0q1tgq0iq75,0.0,1.76171875
1785951224.33,openfaas_nats.1.xtes3383l1jdt8ft7bo259xs1,0.0,6.16015625
1785951224.33,openfaas_gateway.1.hg68dk9pjodcoovusdu6z1fjh,0.0,6.12109375
1785951224.33,openfaas_faas-swarm.1.4qypcyy4fxhl3gpit33772myr,0.0,6.01953125
1785951224.33,fnserver,0.0,25.00390625
1785951224.34,hello.2.ke6wzzzfh7896q7ih0h5w4eb9,0.0,15.80859375
1785951224.34,hello.4.waks1qjyzyilu8ueo0r8ym9lc,0.0,16.1484375
1785951224.34,hello.3.qf2a50navr5786u87rryyucxf,0.0,15.71484375
1785951224.34,hello.8.8l63ivv1upa3ibq1m7h11n7r0,0.0,15.71875
1785951224.34,hello.14.yb02i7sznk7gxg76w9wcx8wfm,0.0,15.69921875
