t,container,cpu_pct,mem_mb
1785951240.24,hello.4.waks1qjyzyilu8ueo0r8ym9lc,0.0,20.75390625
1785951240.24,hello.3.qf2a50navr5786u87rryyucxf,0.0,20.9140625
1785951240.24,hello.8.8l63ivv1upa3ibq1m7h11n7r0,0.0,20.55859375
1785951240.24,hello.14.yb02i7sznk7gxg76w9wcx8wfm,0.0,20.6171875
1785951240.24,hello.5.ged68kppf99ilkm9lmvxi0qot,0.0,20.42578125
1785951240.24,hello.9.zft01an8i1gpr45rsyvrmzi8r,0.0,20.22265625
1785951240.24,hello.15.hx40qrrvkeekyp4bhe8jigqr8,0.0,20.390625
1785951240.24,hello.7.shbsllir0y9m5c4ax42p6w7er,0.0,20.9453125
1785951240.24,hello.12.7pl9wm91wg3ow3ywx1iy1mh2u,0.0,20.5390625
1785951240.24,hello.10.yaxizgfevwx7zs1gueqpcz0b8,0.0,20.82421875
1785951240.24,hello.13.ynp004dd1s3zbila69jqhp1rs,0.0,20.3828125
1785951240.24,hello.16.cp4zpurx2frz3ywyzlai8ymrv,0.0,20.26953125
1785951240.24,hello.11.z5kn2xkavoujp8uqq0c50dqu9,0.0,20.40625
1785951240.24,hello.6.ieanm1kl1x1ilnmpksfoo44bl,0.0,20.4609375
1785951240.24,hello.1.pw2fv7ovavd6zu25hobz28i8y,0.0,20.37109375
1785951240.24,openfaas_alertmanager.1.6406pqdeb7yhrh87zzi2q0obc,0.0,10.1953125
1785951240.24,openfaas_prometheus.1.v7zlor8241h47tu7h6mjcw5l3,0.0,23.6796875
1785951240.24,openfaas_queue-worker.1.265hmrzj1ublxh0q1tgq0iq75,0.0,2.0078125
1785951240.24,openfaas_nats.1.xtes3383l1jdt8ft7bo259xs1,0.0,6.421875
1785951240.24,openfaas_gateway.1.hg68dk9pjodcoovusdu6z1fjh,0.0,7.66796875
1785951240.24,openfaas_faas-swarm.1.4qypcyy4fxhl3gpit33772myr,0.0,6.21484375
1785951240.24,fnserver,0.09140306833684653,25.00390625
1785951240.25,hello.2.ke6wzzzfh7896q7ih0h5w4eb9,0.0,20.421875
1785951240.25,hello.4.waks1qjyzyilu8ueo0r8ym9lc,0.0,20.75390625
1785951240.25,hello.3.qf2a50navr5786u87rryyucxf,0.0,20.9140625
1785951240.25,hello.8.8l63ivv1upa3ibq1m7h11n7r0,0.0,20.55859375
1785951240.25,hello.14.yb02i7sznk7gxg76w9wcx8wfm,0.0,20.6171875
1785951240.25,hello.5.ged68kppf99ilkm9lmvxi0qot,0.0,20.42578125
1785951240.25,hello.9.zft01an8i1gpr45rsyvrmzi8r,0.0,20.22265625
1785951240.25,hello.15.hx40qrrvkeekyp4bhe8jigqr8,0.0,20.390625
1785951240.25,hello.7.shbsllir0y9m5c4ax42p6w7er,0.0,20.9453125
1785951240.25,hello.12.7pl9wm91wg3ow3ywx1iy1mh2u,0.0,20.5390625
1785951240.25,hello.10.yaxizgfevwx7zs1gueqpcz0b8,0.0,20.82421875
1785951240.25,hello.13.ynp004dd1s3zbila69jqhp1rs,0.0,20.3828125
1785951240.25,hello.16.cp4zpurx2frz3ywyzlai8ymrv,0.0,20.26953125
1785951240.25,hello.11.z5kn2xkavoujp8uqq0c50dqu9,0.0,20.40625
1785951240.25,hello.6.ieanm1kl1x1ilnmpksfoo44bl,0.0,20.4609375
1785951240.25,hello.1.pw2fv7ovavd6zu25hobz28i8y,0.0,20.37109375
1785951240.25,openfaas_alertmanager.1.6406pqdeb7yhrh87zzi2q0obc,0.0,10.1953125
1785951240.25,openfaas_prometheus.1.v7zlor8241h47tu7h6mjcw5l3,0.0,23.6796875
1785951240.25,openfaas_queue-worker.1.265hmrzj1ublxh0q1tgq0iq75,0.0,2.0078125
1785951240.25,openfaas_nats.1.xtes3383l1jdt8ft7bo259xs1,0.0,6.421875
1785951240.25,openfaas_gateway.1.hg68dk9pjodcoovusdu6z1fjh,0.0,7.66796875
1785951240.25,openfaas_faas-swarm.1.4qypcyy4fxhl3gpit33772myr,0.0,6.21484375
1785951240.25,fnserver,0.0,25.00390625
1785951240.26,hello.2.ke6wzzzfh7896q7ih0h5w4eb9,0.0,20.421875
1785951240.26,hello.4.waks1qjyzyilu8ueo0r8ym9lc,0.0,20.75390625
1785951240.26,hello.3.qf2a50navr5786u87rryyucxf,0.0,20.9140625
1785951240.26,hello.8.8l63ivv1upa3ibq1m7h11n7r0,0.0,20.55859375
1785951240.26,hello.14.yb02i7sznk7gxg76w9wcx8wfm,0.0,20.6171875
1785951240.26,hello.5.ged68kppf99ilkm9lmvxi0qot,0.0,20.42578125
1785951240.26,hello.9.zft01an8i1gpr45rsyvrmzi8r,0.0,20.22265625
1785951240.26,hello.15.hx40qrrvkeekyp4bhe8jigqr8,0.0,20.390625
1785951240.26,hello.7.shbsllir0y9m5c4ax42p6w7er,0.0,20.9453125
1785951240.26,hello.12.7pl9wm91wg3ow3ywx1iy1mh2u,0.0,20.5390625
1785951240.26,hello.10.yaxizgfevwx7zs1gueqpcz0b8,0.0,20.82421875
1785951240.26,hello.13.ynp004dd1s3zbila69jqhp1rs,0.0,20.3828125
1785951240.26,hello.16.cp4zpurx2frz3ywyzlai8ymrv,0.0,20.26953125
1785951240.26,hello.11.z5kn2xkavoujp8uqq0c50dqu9,0.0,20.40625
1785951240.26,hello.6.ieanm1kl1x1ilnmpksfoo44bl,0.0,20.4609375
1785951240.26,hello.1.pw2fv7ovavd6zu25hobz28i8y,0.0,20.37109375
1785951240.26,openfaas_alertmanager.1.6406pqdeb7yhrh87zzi2q0obc,0.0,10.1953125
1785951240.26,openfaas_prometheus.1.v7zlor8241h47tu7h6mjcw5l3,0.0,23.6796875
1785951240.26,openfaas_queue-worker.1.265hmrzj1ublxh0q1tgq0iq75,0.0,2.0078125
1785951240.26,openfaas_nats.1.xtes3383l1jdt8ft7bo259xs1,0.0,6.421875
1785951240.26,openfaas_gateway.1.hg68dk9pjodcoovusdu6z1fjh,0.0,7.66796875
1785951240.26,openfaas_faas-swarm.1.4qypcyy4fxhl3gpit33772myr,0.0,6.21484375
1785951240.26,fnserver,0.0,25.00390625
1785951240.27,hello.2.ke6wzzzfh7896q7ih0h5w4eb9,0.0,20.421875
1785951240.27,hello.4.waks1qjyzyilu8ueo0r8ym9lc,0.0,20.75390625
1785951240.27,hello.3.qf2a50navr5786u87rryyucxf,0.0,20.9140625
1785951240.27,hello.8.8l63ivv1upa3ibq1m7h11n7r0,0.0,20.55859375
1785951240.27,hello.14.yb02i7sznk7gxg76w9wcx8wfm,0.0,20.6171875
1785951240.27,hello.5.ged68kppf99ilkm9lmvxi0qot,0.0,20.42578125
1785951240.27,hello.9.zft01an8i1gpr45rsyvrmzi8r,0.0,20.22265625
1785951240.27,hello.15.hx40qrrvkeekyp4bhe8jigqr8,0.0,20.390625
1785951240.27,hello.7.shbsllir0y9m5c4ax42p6w7er,0.0,20.9453125
1785951240.27,hello.12.7pl9wm91wg3ow3ywx1iy1mh2u,0.0,20.5390625
1785951240.27,hello.10.yaxizgfevwx7zs1gueqpcz0b8,0.0,20.82421875
1785951240.27,hello.13.ynp004dd1s3zbila69jqhp1rs,0.0,20.3828125
1785951240.27,hello.16.cp4zpurx2frz3ywyzlai8ymrv,0.0,20.26953125
1785951240.27,hello.11.z5kn2xkavoujp8uqq0c50dqu9,0.0,20.40625
1785951240.27,hello.6.ieanm1kl1x1ilnmpksfoo44bl,0.0,20.4609375
1785951240.27,hello.1.pw2fv7ovavd6zu25hobz28i8y,0.0,20.37109375
1785951240.27,openfaas_alertmanager.1.6406pqdeb7yhrh87zzi2q0obc,0.0,10.1953125
1785951240.27,openfaas_prometheus.1.v7zlor8241h47tu7h6mjcw5l3,0.0,23.6796875
1785951240.27,openfaas_queue-worker.1.265hmrzj1ublxh0q1tgq0iq75,0.0,2.0078125
1785951240.27,openfaas_nats.1.xtes3383l1jdt8ft7bo259xs1,0.0,6.421875
1785951240.27,openfaas_gateway.1.hg68dk9pjodcoovusdu6z1fjh,0.0,7.66796875
1785951240.27,openfaas_faas-swarm.1.4qypcyy4fxhl3gpit33772myr,0.0,6.21484375
1785951240.27,fnserver,0.0,25.00390625
1785951240.28,hello.2.ke6wzzzfh7896q7ih0h5w4eb9,0.0,20.421875
1785951240.28,hello.4.waks1qjyzyilu8ueo0r8ym9lc,0.0,20.75390625
1785951240.28,hello.3.qf2a50navr5786u87rryyucxf,0.0,20.9140625
1785951240.28,hello.8.8l63ivv1upa3ibq1m7h11n7r0,0.0,20.55859375
1785951240.28,hello.14.yb02i7sznk7gxg76w9wcx8wfm,0.0,20.6171875
1785951240.28,hello.5.ged68kppf99ilkm9lmvxi0qot,0.0,20.42578125
1785951240.28,hello.9.zft01an8i1gpr45rsyvrmzi8r,0.0,20.22265625
1785951240.28,hello.15.hx40qrrvkeekyp4bhe8jigqr8,0.0,20.390625
1785951240.28,hello.7.shbsllir0y9m5c4ax42p6w7er,0.0,20.9453125
1785951240.28,hello.12.7pl9wm91wg3ow3ywx1iy1mh2u,0.0,20.5390625
1785951240.28,hello.10.yaxizgfevwx7zs1gueqpcz0b8,0.0,20.82421875
1785951240.28,hello.13.ynp004dd1s3zbila69jqhp1rs,0.0,20.3828125
1785951240.28,hello.16.cp4zpurx2frz3ywyzlai8ymrv,0.0,20.26953125
1785951240.28,hello.11.z5kn2xkavoujp8uqq0c50dqu9,0.0,20.40625
1785951240.28,hello.6.ieanm1kl1x1ilnmpksfoo44bl,0.0,20.4609375
1785951240.28,hello.1.pw2fv7ovavd6zu25hobz28i8y,0.0,20.37109375
1785951240.28,openfaas_alertmanager.1.6406pqdeb7yhrh87zzi2q0obc,0.0,10.1953125
1785951240.28,openfaas_prometheus.1.v7zlor8241h47tu7h6mjcw5l3,0.0,23.6796875
1785951240.28,openfaas_queue-worker.1.265hmrzj1ublxh0q1tgq0iq75,0.0,2.0078125
1785951240.28,openfaas_nats.1.xtes3383l1jdt8ft7bo259xs1,0.0,6.421875
1785951240.28,openfaas_gateway.1.hg68dk9pjodcoovusdu6z1fjh,0.0,7.66796875
1785951240.28,openfaas_faas-swarm.1.4qypcyy4fxhl3gpit33772myr,0.0,6.21484375
1785951240.28,fnserver,0.0,25.00390625
1785951240.3,hello.2.ke6wzzzfh7896q7ih0h5w4eb9,0.0,20.421875
1785951240.3,hello.4.waks1qjyzyilu8ueo0r8ym9lc,0.0,20.75390625
1785951240.3,hello.3.qf2a50navr5786u87rryyucxf,0.0,20.9140625
1785951240.3,hello.8.8l63ivv1upa3ibq1m7h11n7r0,0.0,20.55859375
1785951240.3,hello.14.yb02i7sznk7gxg76w9wcx8wfm,0.0,20.6171875
1785951240.3,hello.5.ged68kppf99ilkm9lmvxi0qot,0.0,20.42578125
1785951240.3,hello.9.zft01an8i1gpr45rsyvrmzi8r,0.0,20.22265625
1785951240.3,hello.15.hx40qrrvkeekyp4bhe8jigqr8,0.0,20.390625
1785951240.3,hello.7.shbsllir0y9m5c4ax42p6w7er,0.0,20.9453125
1785951240.3,hello.12.7pl9wm91wg3ow3ywx1iy1mh2u,0.0,20.5390625
1785951240.3,hello.10.yaxizgfevwx7zs1gueqpcz0b8,0.0,20.82421875
1785951240.3,hello.13.ynp004dd1s3zbila69jqhp1rs,0.0,20.3828125
1785951240.3,hello.16.cp4zpurx2frz3ywyzlai8ymrv,0.0,20.26953125
1785951240.3,hello.11.z5kn2xkavoujp8uqq0c50dqu9,0.0,20.40625
1785951240.3,hello.6.ieanm1kl1x1ilnmpksfoo44bl,0.0,20.4609375
1785951240.3,hello.1.pw2fv7ovavd6zu25hobz28i8y,0.0,20.37109375
1785951240.3,openfaas_alertmanager.1.6406pqdeb7yhrh87zzi2q0obc,0.0,10.1953125
1785951240.3,openfaas_prometheus.1.v7zlor8241h47tu7h6mjcw5l3,0.0,23.6796875
1785951240.3,openfaas_queue-worker.1.265hmrzj1ublxh0q1tgq0iq75,0.0,2.0078125
1785951240.3,openfaas_nats.1.xtes3383l1jdt8ft7bo259xs1,0.0,6.421875
1785951240.3,openfaas_gateway.1.hg68dk9pjodcoovusdu6z1fjh,0.0,7.66796875
1785951240.3,openfaas_faas-swarm.1.4qypcyy4fxhl3gpit33772myr,0.0,6.21484375
1785951240.3,fnserver,0.0,25.00390625
1785951240.31,hello.2.ke6wzzzfh7896q7ih0h5w4eb9,0.0,20.421875
1785951240.31,hello.4.waks1qjyzyilu8ueo0r8ym9lc,0.0,20.75390625
1785951240.31,hello.3.qf2a50navr5786u87rryyucxf,0.0,20.9140625
1785951240.31,hello.8.8l63ivv1upa3ibq1m7h11n7r0,0.0,20.55859375
1785951240.31,hello.14.yb02i7sznk7gxg76w9wcx8wfm,0.0,20.6171875
1785951240.31,hello.5.ged68kppf99ilkm9lmvxi0qot,0.0,20.42578125
1785951240.31,hello.9.zft01an8i1gpr45rsyvrmzi8r,0.0,20.22265625
1785951240.31,hello.15.hx40qrrvkeekyp4bhe8jigqr8,0.0,20.390625
1785951240.31,hello.7.shbsllir0y9m5c4ax42p6w7er,0.0,20.9453125
1785951240.31,hello.12.7pl9wm91wg3ow3ywx1iy1mh2u,0.0,20.5390625
1785951240.31,hello.10.yaxizgfevwx7zs1gueqpcz0b8,0.0,20.82421875
1785951240.31,hello.13.ynp004dd1s3zbila69jqhp1rs,0.0,20.3828125
1785951240.31,hello.16.cp4zpurx2frz3ywyzlai8ymrv,0.0,20.26953125
1785951240.31,hello.11.z5kn2xkavoujp8uqq0c50dqu9,0.0,20.40625
1785951240.31,hello.6.ieanm1kl1x1ilnmpksfoo44bl,0.0,20.4609375
1785951240.31,hello.1.pw2fv7ovavd6zu25hobz28i8y,0.0,20.37109375
1785951240.31,openfaas_alertmanager.1.6406pqdeb7yhrh87zzi2q0obc,0.0,10.1953125
1785951240.31,openfaas_prometheus.1.v7zlor8241h47tu7h6mjcw5l3,0.0,23.6796875
1785951240.31,openfaas_queue-worker.1.265hmrzj1ublxh0q1tgq0iq75,0.0,2.0078125
1785951240.31,openfaas_nats.1.xtes3383l1jdt8ft7bo259xs1,0.0,6.421875
1785951240.31,openfaas_gateway.1.hg68dk9pjodcoovusdu6z1fjh,0.0,7.66796875
1785951240.31,openfaas_faas-swarm.1.4qypcyy4fxhl3gpit33772myr,0.0,6.21484375
1785951240.31,fnserver,0.0,25.00390625
1785951240.32,hello.2.ke6wzzzfh7896q7ih0h5w4eb9,0.0,20.421875
1785951240.32,hello.4.waks1qjyzyilu8ueo0r8ym9lc,0.0,20.75390625
1785951240.32,hello.3.qf2a50navr5786u87rryyucxf,0.0,20.9140625
1785951240.32,hello.8.8l63ivv1upa3ibq1m7h11n7r0,0.0,20.55859375
1785951240.32,hello.14.yb02i7sznk7gxg76w9wcx8wfm,0.0,20.6171875
1785951240.32,hello.5.ged68kppf99ilkm9lmvxi0qot,0.0,20.42578125
1785951240.32,hello.9.zft01an8i1gpr45rsyvrmzi8r,0.0,20.22265625
1785951240.32,hello.15.hx40qrrvkeekyp4bhe8jigqr8,0.0,20.390625
1785951240.32,hello.7.shbsllir0y9m5c4ax42p6w7er,0.0,20.9453125
1785951240.32,hello.12.7pl9wm91wg3ow3ywx1iy1mh2u,0.0,20.5390625
1785951240.32,hello.10.yaxizgfevwx7zs1gueqpcz0b8,0.0,20.82421875
1785951240.32,hello.13.ynp004dd1s3zbila69jqhp1rs,0.0,20.3828125
1785951240.32,hello.16.cp4zpurx2frz3ywyzlai8ymrv,0.0,20.26953125
1785951240.32,hello.11.z5kn2xkavoujp8uqq0c50dqu9,0.0,20.40625
1785951240.32,hello.6.ieanm1kl1x1ilnmpksfoo44bl,0.0,20.4609375
1785951240.32,hello.1.pw2fv7ovavd6zu25hobz28i8y,0.0,20.37109375
1785951240.32,openfaas_alertmanager.1.6406pqdeb7yhrh87zzi2q0obc,0.0,10.1953125
1785951240.32,openfaas_prometheus.1.v7zlor8241h47tu7h6mjcw5l3,0.0,23.6796875
1785951240.32,openfaas_queue-worker.1.265hmrzj1ublxh0q1tgq0iq75,0.0,2.0078125
1785951240.32,openfaas_nats.1.xtes3383l1jdt8ft7bo259xs1,0.0,6.421875
1785951240.32,openfaas_gateway.1.hg68dk9pjodcoovusdu6z1fjh,0.0,7.66796875
1785951240.32,openfaas_faas-swarm.1.4qypcyy4fxhl3gpit33772myr,0.0,6.21484375
1785951240.32,fnserver,0.0,25.00390625
1785951240.33,hello.2.ke6wzzzfh7896q7ih0h5w4eb9,0.0,20.421875
1785951240.33,hello.4.waks1qjyzyilu8ueo0r8ym9lc,0.0,20.75390625
1785951240.33,hello.3.qf2a50navr5786u87rryyucxf,0.0,20.9140625
1785951240.33,hello.8.8l63ivv1upa3ibq1m7h11n7r0,0.0,20.55859375
1785951240.33,hello.14.yb02i7sznk7gxg76w9wcx8wfm,0.0,20.6171875
1785951240.33,hello.5.ged68kppf99ilkm9lmvxi0qot,0.0,20.42578125
1785951240.33,hello.9.zft01an8i1gpr45rsyvrmzi8r,0.0,20.22265625
1785951240.33,hello.15.hx40qrrvkeekyp4bhe8jigqr8,0.0,20.390625
1785951240.33,hello.7.shbsllir0y9m5c4ax42p6w7er,0.0,20.9453125
1785951240.33,hello.12.7pl9wm91wg3ow3ywx1iy1mh2u,0.0,20.5390625
1785951240.33,hello.10.yaxizgfevwx7zs1gueqpcz0b8,0.0,20.82421875
1785951240.33,hello.13.ynp004dd1s3zbila69jqhp1rs,0.0,20.3828125
1785951240.33,hello.16.cp4zpurx2frz3ywyzlai8ymrv,0.0,20.26953125
1785951240.33,hello.11.z5kn2xkavoujp8uqq0c50dqu9,0.0,20.40625
1785951240.33,hello.6.ieanm1kl1x1ilnmpksfoo44bl,0.0,20.4609375
1785951240.33,hello.1.pw2fv7ovavd6zu25hobz28i8y,0.0,20.37109375
1785951240.33,openfaas_alertmanager.1.6406pqdeb7yhrh87zzi2q0obc,0.0,10.1953125
1785951240.33,openfaas_prometheus.1.v7zlor8241h47tu7h6mjcw5l3,0.0,23.6796875
1785951240.33,openfaas_queue-worker.1.265hmrzj1ublxh0q1tgq0iq75,0.0,2.0078125
1785951240.33,openfaas_nats.1.xtes3383l1jdt8ft7bo259xs1,0.0,6.171875
1785951240.33,openfaas_gateway.1.hg68dk9pjodcoovusdu6z1fjh,0.0,7.66796875
1785951240.33,openfaas_faas-swarm.1.4qypcyy4fxhl3gpit33772myr,0.0,6.21484375
1785951240.33,fnserver,0.5098068485618652,25.00390625
1785951240.34,hello.2.ke6wzzzfh7896q7ih0h5w4eb9,0.0,20.421875
1785951240.34,hello.4.waks1qjyzyilu8ueo0r8ym9lc,0.0,20.75390625
1785951240.34,hello.3.qf2a50navr5786u87rryyucxf,0.0,20.9140625
1785951240.34,hello.8.8l63ivv1upa3ibq1m7h11n7r0,0.0,20.55859375
1785951240.34,hello.14.yb02i7sznk7gxg76w9wcx8wfm,0.0,20.6171875
1785951240.34,hello.5.ged68kppf99ilkm9lmvxi0qot,0.0,20.42578125
1785951240.34,hello.9.zft01an8i1gpr45rsyvrmzi8r,0.0,20.22265625
1785951240.34,hello.15.hx40qrrvkeekyp4bhe8jigqr8,0.0,20.390625
1785951240.34,hello.7.shbsllir0y9m5c4ax42p6w7er,0.0,20.9453125
1785951240.34,hello.12.7pl9wm91wg3ow3ywx1iy1mh2u,0.0,20.5390625
1785951240.34,hello.10.yaxizgfevwx7zs1gueqpcz0b8,0.0,20.82421875
1785951240.34,hello.13.ynp004dd1s3zbila69jqhp1rs,0.0,20.3828125
1785951240.34,hello.16.cp4zpurx2frz3ywyzlai8ymrv,0.0,20.26953125
1785951240.34,hello.11.z5kn2xkavoujp8uqq0c50dqu9,0.0,20.40625
1785951240.34,hello.6.ieanm1kl1x1ilnmpksfoo44bl,0.0,20.4609375
1785951240.34,hello.1.pw2fv7ovavd6zu25hobz28i8y,0.0,20.37109375
1785951240.34,openfaas_alertmanager.1.6406pqdeb7yhrh87zzi2q0obc,0.0,10.1953125
1785951240.34,openfaas_prometheus.1.v7zlor8241h47tu7h6mjcw5l3,0.0,23.6796875
